Error,d,Clase
0.052000000000000046,4,Trainparalelo
0.12229999999999996,4,Testparalelo
0.06399999999999995,4,Traindiagonal
0.14800000000000002,4,Testdiagonal
0.06000000000000005,4,Trainparalelo
0.13959999999999995,4,Testparalelo
0.07199999999999995,8,Traindiagonal
0.22509999999999997,8,Testdiagonal
0.052000000000000046,8,Trainparalelo
0.10909999999999997,8,Testparalelo
0.07999999999999996,8,Traindiagonal
0.22650000000000003,8,Testdiagonal
0.05600000000000005,8,Trainparalelo
0.14029999999999998,8,Testparalelo
0.052000000000000046,8,Traindiagonal
0.2136,8,Testdiagonal
0.040000000000000036,8,Trainparalelo
0.12939999999999996,8,Testparalelo
0.06799999999999995,8,Traindiagonal
0.2146,8,Testdiagonal
0.06799999999999995,8,Trainparalelo
0.16659999999999997,8,Testparalelo
0.07999999999999996,8,Traindiagonal
0.2249,8,Testdiagonal
0.03600000000000003,8,Trainparalelo
0.1462,8,Testparalelo
0.05600000000000005,8,Traindiagonal
0.2198,8,Testdiagonal
0.06000000000000005,8,Trainparalelo
0.15100000000000002,8,Testparalelo
0.08399999999999996,8,Traindiagonal
0.23860000000000003,8,Testdiagonal
0.06399999999999995,8,Trainparalelo
0.12849999999999995,8,Testparalelo
0.06399999999999995,8,Traindiagonal
0.2247,8,Testdiagonal
0.04800000000000004,8,Trainparalelo
0.14270000000000005,8,Testparalelo
0.06399999999999995,8,Traindiagonal
0.21630000000000005,8,Testdiagonal
0.04800000000000004,8,Trainparalelo
0.14029999999999998,8,Testparalelo
0.06799999999999995,8,Traindiagonal
0.22540000000000004,8,Testdiagonal
0.06799999999999995,8,Trainparalelo
0.14739999999999998,8,Testparalelo
0.07199999999999995,8,Traindiagonal
0.2531,8,Testdiagonal
0.06000000000000005,8,Trainparalelo
0.10440000000000005,8,Testparalelo
0.09199999999999997,8,Traindiagonal
0.2481,8,Testdiagonal
0.03600000000000003,8,Trainparalelo
0.15090000000000003,8,Testparalelo
0.07999999999999996,8,Traindiagonal
0.23829999999999996,8,Testdiagonal
0.04400000000000004,8,Trainparalelo
0.14629999999999999,8,Testparalelo
0.07199999999999995,8,Traindiagonal
0.22160000000000002,8,Testdiagonal
0.05600000000000005,8,Trainparalelo
0.14839999999999998,8,Testparalelo
0.09999999999999998,8,Traindiagonal
0.22709999999999997,8,Testdiagonal
0.04800000000000004,8,Trainparalelo
0.13339999999999996,8,Testparalelo
0.06000000000000005,8,Traindiagonal
0.23440000000000005,8,Testdiagonal
0.06399999999999995,8,Trainparalelo
0.17049999999999998,8,Testparalelo
0.052000000000000046,8,Traindiagonal
0.21599999999999997,8,Testdiagonal
0.052000000000000046,8,Trainparalelo
0.12,8,Testparalelo
0.04400000000000004,8,Traindiagonal
0.21909999999999996,8,Testdiagonal
0.04400000000000004,8,Trainparalelo
0.12070000000000003,8,Testparalelo
0.07999999999999996,8,Traindiagonal
0.2277,8,Testdiagonal
0.04800000000000004,8,Trainparalelo
0.15249999999999997,8,Testparalelo
0.06399999999999995,8,Traindiagonal
0.24439999999999995,8,Testdiagonal
0.052000000000000046,8,Trainparalelo
0.1713,8,Testparalelo
