Error,d,Clase
0.15180000000000005,4,Redes - Test paralelo
0.040000000000000036,4,Redes - Train diagonal
0.12670000000000003,4,Redes - Test diagonal
0.05600000000000005,4,Redes - Train paralelo
0.12250000000000005,4,Redes - Test paralelo
0.040000000000000036,4,Redes - Train diagonal
0.126,4,Redes - Test diagonal
0.07199999999999995,4,Redes - Train paralelo
0.15269999999999995,4,Redes - Test paralelo
0.020000000000000018,4,Redes - Train diagonal
0.13360000000000005,4,Redes - Test diagonal
0.016000000000000014,4,Redes - Train paralelo
0.13360000000000005,4,Redes - Test paralelo
0.008000000000000007,8,Redes - Train diagonal
0.12490000000000001,8,Redes - Test diagonal
0.0040000000000000036,8,Redes - Train paralelo
0.15349999999999997,8,Redes - Test paralelo
0.020000000000000018,8,Redes - Train diagonal
0.127,8,Redes - Test diagonal
0.008000000000000007,8,Redes - Train paralelo
0.14870000000000005,8,Redes - Test paralelo
0.03200000000000003,8,Redes - Train diagonal
0.12649999999999995,8,Redes - Test diagonal
0.0040000000000000036,8,Redes - Train paralelo
0.14539999999999997,8,Redes - Test paralelo
0.01200000000000001,8,Redes - Train diagonal
0.13260000000000005,8,Redes - Test diagonal
0.0,8,Redes - Train paralelo
0.1594,8,Redes - Test paralelo
0.03200000000000003,8,Redes - Train diagonal
0.14680000000000004,8,Redes - Test diagonal
0.0040000000000000036,8,Redes - Train paralelo
0.14429999999999998,8,Redes - Test paralelo
0.008000000000000007,8,Redes - Train diagonal
0.15100000000000002,8,Redes - Test diagonal
0.0,8,Redes - Train paralelo
0.129,8,Redes - Test paralelo
0.0,8,Redes - Train diagonal
0.135,8,Redes - Test diagonal
0.03600000000000003,8,Redes - Train paralelo
0.126,8,Redes - Test paralelo
0.0040000000000000036,8,Redes - Train diagonal
0.13660000000000005,8,Redes - Test diagonal
0.0,8,Redes - Train paralelo
0.15559999999999996,8,Redes - Test paralelo
0.0040000000000000036,8,Redes - Train diagonal
0.14590000000000003,8,Redes - Test diagonal
0.0,8,Redes - Train paralelo
0.16959999999999997,8,Redes - Test paralelo
0.016000000000000014,8,Redes - Train diagonal
0.1483,8,Redes - Test diagonal
0.016000000000000014,8,Redes - Train paralelo
0.15149999999999997,8,Redes - Test paralelo
0.016000000000000014,8,Redes - Train diagonal
0.12260000000000004,8,Redes - Test diagonal
0.008000000000000007,8,Redes - Train paralelo
0.15700000000000003,8,Redes - Test paralelo
0.01200000000000001,8,Redes - Train diagonal
0.13590000000000002,8,Redes - Test diagonal
0.0040000000000000036,8,Redes - Train paralelo
0.15659999999999996,8,Redes - Test paralelo
0.01200000000000001,8,Redes - Train diagonal
0.1381,8,Redes - Test diagonal
0.008000000000000007,8,Redes - Train paralelo
0.1633,8,Redes - Test paralelo
0.0,8,Redes - Train diagonal
0.1269,8,Redes - Test diagonal
0.0,8,Redes - Train paralelo
0.1513,8,Redes - Test paralelo
0.016000000000000014,8,Redes - Train diagonal
